Uuid,Void/Retire,Name,Strength,Concept drug,Concept dosage form
189379cc-a89d-11df-bba5-000c297f1161,,OFX (Ofloxacin 400mg tablet),400mg,6559b186-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18937aa8-a89d-11df-bba5-000c297f1161,,Pyridoxine (25mg),25mg,654a0e20-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18937b8e-a89d-11df-bba5-000c297f1161,,CFZ (Clofazimine 50mg tablet),50mg,6559ab46-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18937c6a-a89d-11df-bba5-000c297f1161,,Atenolol (25mg tablet),25mg,65635d58-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18937d5a-a89d-11df-bba5-000c297f1161,,Ciprofloxacin (500mg tablet),500mg,6549eb66-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18937e54-a89d-11df-bba5-000c297f1161,,LFX (Levofloxacin 500mg tablet),500mg,6549fb6a-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18937f44-a89d-11df-bba5-000c297f1161,,RHE (Rifampicin Isoniazid and Ethambutol -1-1-mg t,1tab(s),655a94de-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893802a-a89d-11df-bba5-000c297f1161,,Zidolam,1tab(s),6549237a-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18938110-a89d-11df-bba5-000c297f1161,,Coviro30 (Lamivudine + Stavudine 150/30 mg tablet),1tab(s),6561428e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189388fe-a89d-11df-bba5-000c297f1161,,Coviro40 (Lamivudine + Stavudine 150/40mg tablet),1tab(s),6561428e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189389ee-a89d-11df-bba5-000c297f1161,,MVI (multivitamin syrup),,65485a58-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
18938ade-a89d-11df-bba5-000c297f1161,,MVI (multivitamin tablet),1tab(s),65485a58-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18938bc4-a89d-11df-bba5-000c297f1161,,LPV/r (Lopinavir and Ritonavir syrup),,654a2dec-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
1893922c-a89d-11df-bba5-000c297f1161,,d4T (Stavudine syrup),,65491e02-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
1893931c-a89d-11df-bba5-000c297f1161,,Amitriptyline (25mg tablets),25mg,654b12fc-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18939402-a89d-11df-bba5-000c297f1161,,Chlorphenamine 4mg tablet,4mg,654affa6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189394e8-a89d-11df-bba5-000c297f1161,,Cloxacillin (tablet),,654b094c-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189395ce-a89d-11df-bba5-000c297f1161,,CPT (Cotrimoxazole 240mg/5ml suspension),5mL,654b02da-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
189396aa-a89d-11df-bba5-000c297f1161,,Vincristine Sulphate Injection,1mg/m2,6566d992-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
18939d30-a89d-11df-bba5-000c297f1161,,Bleomycin for Injection USP,15mg/m2,6566d88e-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
18939e20-a89d-11df-bba5-000c297f1161,,Paclitaxel (Taxol) Injection,100mg/m2,6566da96-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
18939f06-a89d-11df-bba5-000c297f1161,,E (Ethambutol 100mg tablet),100mg,6549f0b6-977f-11e1-8993-905e29aff6c1,
